id,winner
501220,1.0
548359,1.0
1178424,0.0
501251,1.0
980949,2.0
1216538,0.0
501223,1.0
598012,0.0
598014,1.0
980925,0.0
392190,1.0
1178414,0.0
1136594,0.0
1237177,0.0
548318,0.0
733993,1.0
548376,1.0
392234,0.0
829763,0.0
980935,1.0
419130,0.0
392191,1.0
501263,1.0
1216507,1.0
336021,0.0
336012,0.0
980981,0.0
501233,1.0
501234,0.0
392203,0.0
598022,0.0
501255,0.0
729301,1.0
729293,0.0
1175368,1.0
336005,1.0
501228,0.0
734025,0.0
392186,0.0
548374,1.0
392189,1.0
980901,3.0
829789,0.0
419128,1.0
501259,1.0
501236,0.0
980933,1.0
548333,2.0
980945,2.0
1136582,1.0
1136573,0.0
1216528,0.0
1178415,2.0
1136602,1.0
733985,0.0
598004,1.0
598051,0.0
392211,1.0
598009,2.0
1136601,0.0
1082617,0.0
1082624,3.0
419111,1.0
1082605,1.0
501232,0.0
419159,0.0
1082620,0.0
336032,1.0
392221,0.0
419146,1.0
548369,1.0
829785,0.0
501222,0.0
1216547,0.0
336015,1.0
336013,0.0
1082616,1.0
548356,0.0
598007,0.0
1082626,1.0
501235,1.0
1237180,2.0
829779,0.0
392197,0.0
392202,0.0
1216498,1.0
980903,0.0
501242,3.0
548341,1.0
1136563,0.0
980917,2.0
598031,0.0
980913,1.0
548317,0.0
598039,1.0
1082598,1.0
734037,0.0
1136584,0.0
1082632,1.0
501237,0.0
980905,2.0
336037,0.0
1216502,1.0
729279,0.0
729305,1.0
548324,1.0
392222,0.0
829819,0.0
392201,1.0
548345,1.0
980921,1.0
1216516,1.0
501268,0.0
980937,2.0
733999,1.0
980941,0.0
392209,0.0
335992,1.0
1178416,0.0
392235,1.0
1181767,0.0
829765,0.0
501239,0.0
1082644,0.0
829753,0.0
598071,1.0
419109,0.0
1178407,1.0
598069,1.0
336011,1.0
734015,0.0
1178393,0.0
598018,1.0
548362,0.0
392206,0.0
548352,0.0
1216532,1.0
829817,0.0
1175358,2.0
734029,1.0
1136580,0.0
829723,0.0
598028,1.0
1082609,1.0
598036,1.0
1082633,1.0
335989,0.0
1178397,1.0
392226,1.0
1136576,1.0
1082646,0.0
733991,1.0
598003,1.0
335984,1.0
1136565,0.0
733975,1.0
734013,0.0
1216500,2.0
1216493,2.0
734019,1.0
1216496,1.0
1178394,0.0
1136591,0.0
1136598,1.0
